Institute Name,Branch Code,OC BOYS,OC GIRLS,"BC_A BOYS","BC_A GIRLS","BC_B BOYS","BC_B GIRLS","BC_C BOYS","BC_C GIRLS","BC_D BOYS","BC_D GIRLS","BC_E BOYS","BC_E GIRLS","SC BOYS","SC GIRLS","ST BOYS","ST GIRLS","EWS BOYS","EWS GIRLS"
PALLAVI ENGINEERING COLLEGE,CSE,44073,45968,133059,138720,91315,103007,44073,119081,96162,109971,113934,113934,151642,153720,154808,154808,100635,100635
VIGNAN INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),INF,44230,44230,123143,123143,77927,77927,126633,126633,73176,84219,131556,131556,105208,150176,154185,154185,50659,53045
AAR MAHAVEER ENGINEERING COLLEGE,CSE,44341,44341,69685,73976,84856,84856,77419,77419,70588,96032,113924,140029,128220,128220,126834,127777,45303,57243
NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),CSE,44634,44634,89382,95277,71170,91807,68167,69537,65686,77979,92665,99501,119166,125140,150022,150022,46004,48948
HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),ECE,44780,44780,114823,114823,82007,91264,44780,90513,80935,85175,44780,101476,153377,153377,151510,151510,52530,54658
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),AIM,44795,54357,117703,143521,74004,91977,112695,112695,71850,78076,106197,106197,140631,152891,152770,152770,46042,54357
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,BIO,44808,44808,129910,129910,73903,98525,44808,44808,68311,68311,85567,85567,122852,122852,104078,152859,98679,126244
VIGNAN INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),CSD,44854,71628,136875,141897,74837,80815,44854,71628,80962,92762,132171,132171,154075,154075,153822,153822,68965,71628
SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CSM,44867,46012,112001,112001,85480,90801,44867,87949,76434,89301,138012,138012,153197,153197,153751,153751,56735,56735
SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSM,44977,50277,86050,91409,61492,61492,69964,69964,69622,74491,116340,130846,150953,154819,155701,155701,44977,50277
CMR TECHNICAL CAMPUS (AUTONOMOUS),ECE,45011,49365,102919,121358,65564,77980,65456,65456,65562,74380,121904,136862,148740,152493,130454,156109,45333,49365
MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS),ECE,45112,45112,97511,105659,62969,86043,65705,65705,64257,75309,67710,125489,143032,143032,106169,146210,45112,45910
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),MEC,45114,45114,92267,92267,146207,146207,45114,45114,45114,137216,45114,118056,154658,154658,154480,154480,45114,133875
MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),INF,45173,46394,103145,137653,75855,98157,66164,66164,65477,71345,122163,129571,156277,156579,156329,156329,45937,46394
HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS),ECE,45331,45331,138388,138388,138883,139973,45331,45331,114538,145878,139519,139519,155126,155126,151085,156724,132874,132874
SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),CSD,45360,73067,87438,117236,97079,114029,45360,73067,81325,93583,123288,123288,131786,131786,137013,154809,68486,73067
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),CSO,45477,45477,116218,127429,92999,101648,45477,45477,89472,89472,45477,120749,155934,155934,154885,154885,45477,48869
MALLAREDDY INST OF TECHNOLOGY AND SCI (AUTONOMOUS),CSE,45491,50159,99853,108572,67578,73974,89068,89068,64870,64870,127548,138597,129315,145512,146909,155963,54562,56508
MALLA REDDY COLLEGE OF ENGINEERING,ECE,45524,45524,142754,142754,87928,94466,45524,45524,93374,93374,140798,140798,155024,155024,154356,155555,59553,61887
A C E ENGINEERING COLLEGE (AUTONOMOUS),CSD,45535,45535,86623,112117,66994,77300,59743,59743,57226,61467,106051,123784,135998,147253,153826,154986,46845,46845
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),EEE,45646,45646,137796,137796,141058,141058,45646,45646,120427,140981,110015,118615,156830,156830,152726,154850,114453,135366
MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,EEE,45929,45929,45929,121103,45929,45929,45929,45929,45929,45929,133814,133814,156845,156845,133523,133523,45929,45929
VIGNAN INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),CSM,46006,46006,113726,113726,66328,74508,73077,73077,70659,81096,119109,119109,154317,154504,155320,155320,49597,49597
KU COLLEGE OF ENGINEERING  AND TECHNOLOGY,ECE,46233,46233,70120,87621,46233,59128,46233,59001,46233,47070,106799,106799,81475,94463,55126,113896,46233,70146
CMR ENGG COLLEGE (AUTONOMOUS),INF,46530,46587,107659,130768,73728,74636,60844,66395,65310,68695,130534,140122,153949,153949,153357,156215,46530,46587
A C E ENGINEERING COLLEGE (AUTONOMOUS),CSO,46740,46740,107920,107920,78307,90793,46740,46740,88922,94118,109914,109914,156693,156693,155107,155107,51897,51897
GLOBAL INST OF ENGINEERING AND TECHNOLOGY,CSE,46866,46866,136056,143215,145341,146730,90862,90862,142562,144525,117953,117953,155625,155625,156518,156518,131878,131878
D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,CSE,47193,51777,135171,140403,127597,144256,109084,109084,124257,124257,109401,109401,151082,155395,154328,155981,99559,142734
HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS),CSE,47213,47213,107741,114435,100160,100160,84405,84405,81443,113531,133762,143125,139725,153184,148545,152432,64654,98484
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),ECE,47232,47419,143290,143290,100032,124471,74107,74107,86753,104417,144822,144822,150465,154701,155595,155595,60588,69952
SCIENT INSTITUTE OF TECHNOLOGY,ECE,47309,71955,96543,96543,145941,145941,47309,71955,95935,108670,97771,97771,151499,153836,154743,154743,47309,101450
ANURAG ENGINEERING COLLEGE AUTONOMOUS,CSM,47509,59501,113520,117827,144275,144275,109825,109825,104997,112641,133284,133284,156760,156760,154510,154510,104507,104507
KESHAV MEMORIAL COLLEGE OF ENGINEERING,ECE,47654,48669,116961,116961,101684,119952,47654,48669,83614,112349,143431,143431,153545,153545,143716,143716,58271,59495
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),CSE,47699,47699,84101,102299,66051,67990,59161,65856,59141,70617,80900,128683,126544,126833,128130,147473,47699,47699
KU COLLEGE OF ENGINEERING  AND TECHNOLOGY,EEE,47815,47815,105619,105619,126663,126663,47815,47815,75627,111417,103008,146299,95369,102852,117600,124985,132870,141564
CVR COLLEGE OF ENGINEERING,MEC,47870,47870,47870,137324,92143,114068,47870,47870,63287,86635,47870,47870,149835,153623,152533,152533,47870,82719
SPHOORTHY ENGINEERING COLLEGE,CSE,47950,47950,109876,136938,73780,73780,79890,79890,83708,86585,83190,83190,147376,147693,147306,153284,58054,58760
NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS),CSD,47966,62709,111418,146578,84024,96358,75299,75299,74070,91532,138891,146273,153487,153487,155569,155569,63558,63558
O U COLLEGE OF ENGG  HYDERABAD,MIN,48108,48108,122875,122875,98351,129091,74593,74593,63561,138415,102152,124483,92926,154070,91627,128685,53944,71147
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,ECE,48159,48159,109561,131995,135044,138718,48159,48159,96996,135545,145303,145303,155609,156073,48159,48159,48159,48159
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,48217,53038,124221,125260,81226,81226,48217,53038,85365,100440,107518,110800,152001,153260,130662,130662,53317,59389
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ANE,48349,48349,136588,136588,70626,70626,48349,67271,86542,132195,84441,84441,140918,152611,152510,154611,64662,68281
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH  -5 YEAR INTEGRATED MTECH  SELF FINANCE,CIV,48502,48502,65014,92988,63374,75787,116061,116061,79397,93711,82989,133279,79635,115875,113888,121096,88009,103720
NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),ECE,48517,84171,142558,142558,119592,130496,101306,115672,104014,121594,130882,130882,156142,156178,153456,155985,109798,109798
K U COLLEGE OF ENGG  KOTHAGUDEM,CSE,48555,48555,104144,108836,66331,66331,51285,51285,48974,48974,130684,130684,81834,81834,63400,87609,93055,93055
A C E ENGINEERING COLLEGE (AUTONOMOUS),AIM,48624,57609,97677,143657,74566,87161,68603,68603,68430,80193,127195,136564,151221,156040,88403,128173,52328,57609
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,AIM,49091,49091,144710,144710,146240,146240,138437,138437,138227,146700,135843,138431,149857,149857,111868,139699,115169,116154
SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,49304,49304,99365,111243,64346,73572,49304,114345,72529,79924,101173,116396,151187,156654,154869,154869,49304,49304
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),ECE,49360,49360,132401,146238,131606,140477,104851,104851,109186,119725,121158,139221,154498,154910,152528,152528,122038,130275
B V RAJU INSTITUTE OF TECHNOLOGY,CHE,49437,49437,122738,136692,138179,138179,49437,49437,115675,130204,71243,111727,151361,156248,153076,156699,85628,144435
KU COLLEGE OF ENGINEERING  AND TECHNOLOGY,CIV,49510,49510,140229,140229,149380,149380,49510,49510,152420,152420,155391,155391,152657,156101,138515,139076,49510,69198
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ECE,49536,60898,134590,134590,97509,108916,76610,76610,85378,94031,119371,119371,156775,156775,150391,156452,67694,67694
MALLA REDDY COLLEGE OF ENGINEERING,CSD,49694,55317,115724,119171,85197,88715,78708,78708,78175,87500,134160,135262,151071,152776,152128,155394,51388,55978
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,CSE,49722,59285,129197,139967,85959,93445,78509,78509,77587,79734,113466,113466,155367,155367,155827,155827,78676,102232
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),ECE,49822,82807,137311,137311,104924,104924,87600,92832,87269,98074,135933,144021,147251,155481,155257,155257,65557,82807
JNTUH UNIVERSITY COLLEGE OF ENGINEERING WANAPARTHY,CSM,49830,49830,122581,122581,109179,126524,78421,78421,87309,122249,60524,91228,155771,155771,126951,155213,67081,111431
MALLAREDDY INST OF TECHNOLOGY AND SCI (AUTONOMOUS),CSD,49851,51310,103894,103894,69884,77364,49851,51310,68546,72119,115706,115706,147412,156076,153886,154661,50793,52171
SWAMI VIVEKANANDA INST OF TECHNOLOGY,CSC,49903,49903,122480,122480,117575,143947,49903,49903,94793,136572,81138,86616,155993,155993,154998,154998,89778,100620
D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,ECE,50019,50019,50019,98697,139372,139372,50019,50019,143120,143120,135398,135398,138759,156147,156441,156441,50019,119349
ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,CSM,50160,50160,50160,50160,135015,135015,50160,50160,99502,99502,137773,137773,150666,150666,50160,50160,50160,50160
COLLEGE OF AGRICULTURAL ENGG,AGR,50218,50218,106063,106063,119417,119417,50218,50218,149088,149088,108342,108342,153907,153907,147716,147716,50218,113961
TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,AIM,50272,50272,139163,139163,145828,145828,100810,100810,109095,109095,50272,104443,148098,148826,155891,155891,50272,136205
JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA,MEC,50432,50432,50432,50432,50432,50432,50432,50432,50432,50432,50432,50432,155929,155929,127604,127604,50432,50432
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,CSD,50629,50629,80177,99210,75580,87165,50629,50629,78808,78808,121681,121681,94016,148033,152614,152614,50629,63556
SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),ECE,50741,50741,114484,135053,92141,124085,50741,50741,91158,103629,138770,138770,153651,153651,156651,156651,64370,84071
VIGNAN INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),AID,50929,61352,116103,140266,78434,93617,50929,61352,75237,83314,137045,137045,149358,150802,57579,112432,53476,63058
KESHAV MEMORIAL COLLEGE OF ENGINEERING,CSO,50995,53561,113530,115929,114362,130097,70959,70959,75617,89467,119610,119610,59392,155817,149244,149244,50995,53561
AVANTHI INST OF ENGG AND TECHNOLOGY,CSC,51072,118551,142933,144771,138893,143233,51072,118551,130654,131678,51072,118551,146288,146288,147738,147738,144702,144702
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),MCT,51335,120642,128904,128904,94965,127847,51335,120642,94779,125412,74929,120642,106932,121803,153916,156169,87178,120642
MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS),ANE,51521,51521,143899,143899,78139,119615,51521,51521,89509,141747,107340,107340,153509,154933,134132,134132,84731,108593
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH  -5 YEAR INTEGRATED MTECH  SELF FINANCE,MMS,51550,51550,63148,116872,80891,80891,51550,51550,97447,111692,51550,51550,141776,155402,109354,151478,54059,70528
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),EEE,51792,51792,131329,143872,131717,131717,51792,51792,88323,128877,113467,113467,151708,156694,156097,156097,68952,83023
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,CSE,51875,63366,123495,137974,98357,113323,136213,136213,103882,123005,137932,142074,151720,155784,149148,153308,63079,66709
MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),ECE,51892,66607,110050,142973,80516,106756,69777,69777,75375,93101,116566,140380,154103,156324,156471,156471,64553,66607
SCIENT INSTITUTE OF TECHNOLOGY,EEE,51985,51985,143388,143388,134408,134408,51985,51985,121477,121477,51985,51985,148800,152739,51985,130471,51985,51985
SRI VENKATESWARA ENGINEERING COLLEGE,CSM,52126,52126,52126,52126,52126,145472,52126,52126,94712,126743,52126,52126,52126,52126,107724,107724,52126,90175
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,GEO,52369,59541,134289,134289,126949,126949,52369,117674,118943,142317,119110,124101,147966,150835,149623,151509,101785,101785
SWAMI VIVEKANANDA INST OF TECHNOLOGY,CSM,52400,89445,145398,145398,106923,132178,120870,120870,101859,101859,72512,89445,149196,155682,156865,156865,75552,89445
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  JAGITIAL (AUTONOMOUS),MEC,52425,58918,153333,153333,139381,139381,96488,96488,125961,125961,113091,113091,153171,155733,150520,150596,112509,112509
ELLENKI COLLGE OF ENGG AND TECHNOLOGY,CSM,52702,146678,145900,146678,145746,146678,116705,146678,144783,146678,123118,146678,156444,156444,144231,146678,134723,146678
KASIREDDY NARAYANAREDDY COLL ENGG RES,MEC,52855,52855,52855,52855,52855,52855,52855,52855,70654,70654,145718,145718,115032,115032,52855,52855,52855,139050
MALLAREDDY INST OF TECHNOLOGY AND SCI (AUTONOMOUS),CSM,53276,67619,134233,146224,75006,80849,63353,67619,68756,78784,142526,142526,155552,155552,156622,156622,66434,67619
AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,CSE,53402,53402,129338,144874,135056,135056,85815,124941,108313,128876,136321,139459,156415,156470,156015,156432,73773,85609
ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),CSE,53536,53536,107653,128648,80660,82214,119012,119012,70160,75305,142817,142817,146920,151840,156814,156814,53536,53536
NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),AID,53661,57278,118064,118064,95926,95926,53661,57278,78143,104394,130315,130315,155547,155547,156500,156500,65106,66255
SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),CSE,53765,53765,87216,130190,83564,86059,53765,66185,75927,91067,120632,120632,116923,116923,123722,139285,57695,63663
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIV,53826,68510,146148,146148,122562,122562,106793,106793,129558,129558,142037,142037,152401,156513,156729,156729,117290,137546
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),AID,53920,53920,135839,135839,75689,77573,64195,64195,66351,72539,142265,142265,154303,154303,156534,156534,55364,60745
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),AIM,54065,58458,146335,146335,81688,96048,54065,58458,80928,87206,106299,108455,155458,155458,148733,151377,54065,70336
NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS),CIV,54073,54073,54073,54073,146302,146302,54073,54073,54073,54073,54073,54073,156403,156403,133624,133624,54073,54073
JOGINPALLY B R ENGINEERING COLLEGE (AUTONOMOUS),CSE,54095,74355,144211,146284,107042,107275,72503,74355,102915,112101,146120,146120,149256,154613,151777,156530,68846,74355
O U COLLEGE OF TECH  HYDERABAD  - SELF FINANCE,FDT,54251,54251,99731,124363,110450,110450,54251,54251,91040,131983,54251,54251,153351,153351,152957,152957,54251,139700
SRI CHAITANYA TECHNICAL CAMPUS,CSE,54342,54342,142281,143834,145088,145088,54342,54342,124833,144549,94603,131156,154782,154782,153222,156527,133183,133183
NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CSC,54439,54439,137098,137098,95297,103113,72080,72080,91316,93357,136477,139974,154689,155995,150226,150226,84236,89637
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,CSM,54587,55518,117091,145465,95345,96648,95085,95085,81737,100444,141107,141107,147069,154823,156370,156370,59136,64458
VAGDEVI ENGINEERING COLLEGE  (AUTONOMOUS),CSE,54597,58567,107980,120979,80795,92543,88810,88810,87129,89320,117437,131987,150251,150853,154545,154545,91760,91760
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,CSD,55136,92703,146790,146790,125764,125764,55136,92703,99165,130894,127185,127185,156332,156332,156093,156093,76228,94986
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,ECI,55289,60619,90232,124868,92561,97041,112840,112840,102213,102213,81137,110497,126390,154979,154122,154122,67099,83761
PALLAVI ENGINEERING COLLEGE,CSD,55374,55374,123125,135718,120871,125618,55374,55374,112845,134565,108106,108106,154325,155316,156731,156731,103051,114883
A C E ENGINEERING COLLEGE (AUTONOMOUS),ECE,55425,55425,110112,122014,79408,82849,55425,55425,70725,93050,97477,120742,143661,150265,152147,155163,55425,59109
VISWESWARAYA COLL OF ENGG AND TECHNOLOGY,ECE,55541,55541,146325,146325,128391,136593,55541,55541,141538,145363,135022,135022,154662,154662,156733,156733,55541,144081
SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE) ,MEC,55586,55586,136595,136595,55586,55586,55586,55586,153471,153471,55586,55586,153410,153410,102131,102131,55586,55586
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),INF,55642,55642,125511,138864,85206,98346,55642,85561,77603,84154,130786,130786,154766,154766,155419,155419,61175,61175
MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,CSI,56038,56038,148750,148750,154902,154902,56038,56038,155386,155386,155630,155630,147017,151761,59183,84765,56038,138390
JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA,EEE,56262,56262,110734,138712,133752,133752,56262,56262,107464,121973,56262,56262,155716,155716,123361,151804,56262,56262
NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS),CSM,56362,56362,127755,127755,79999,85816,75802,75802,76442,93167,104426,145458,152755,152755,142331,150771,59669,61914
KSHATRIYA COLLEGE OF ENGINEERING,ECE,56891,56891,108156,108156,137893,137893,56891,56891,56891,56891,141923,141923,123108,124811,156353,156353,56891,56891
NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CSE,57049,57148,107344,132761,83628,98209,73014,73317,75884,77421,133909,146080,147022,148757,155843,155843,57049,61168
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),INF,57183,57183,117669,130869,82792,82792,61445,61445,68503,68503,145345,145345,156477,156477,153345,155231,57183,57183
JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),CSE,57371,58415,146512,146512,85550,89514,87262,87262,94531,94531,125846,142750,154180,155442,151961,156774,105299,105299
SREE DATTHA GRP OF INSTNS,CSC,57444,57444,139540,145457,144646,146263,57444,57444,143918,146047,122680,122680,125104,145191,134535,134535,137117,145734
K U COLLEGE OF ENGG  KOTHAGUDEM,MIN,57794,57794,122696,122696,86324,117093,57794,57794,98886,102529,130000,130000,156312,156312,84884,122811,57794,89375
ELLENKI COLLGE OF ENGG AND TECHNOLOGY,CSD,58025,58025,136026,136085,128408,140676,58025,58025,132948,132948,87867,140433,154007,155599,155856,155856,58025,90898
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,MEC,58051,58051,114233,138531,117421,141073,93064,120615,128516,145780,99681,99681,153150,154217,154999,154999,68706,112292
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSM,58258,58258,134564,134564,88646,96401,58258,99138,80178,97481,99425,126779,152450,156438,156663,156663,58258,59935
SRI CHAITANYA TECHNICAL CAMPUS,CSD,58650,146442,116938,146442,156607,156607,58650,146442,128111,146442,58650,146442,138793,146442,145241,151625,58650,146442
SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE) ,EEE,58895,58895,143503,143503,138633,145127,131484,131484,127964,133260,140851,141941,153666,156738,155212,155212,58895,86292
INSTITUTE OF AERONAUTICAL ENGINEERING,EEE,59012,59012,102179,133845,75298,75298,59012,59012,85707,90428,124775,124775,120165,156254,152099,152099,59012,76289
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),AID,59256,65589,139088,139088,101506,112836,59256,92629,85217,104263,67263,84977,156829,156829,156764,156764,66751,81991
KOMMURI PRATAP REDDY INST OF TECHNOLOGY  (AUTONOMOUS),CSE,59261,59261,126360,143741,102372,102377,78195,78195,77595,103391,134976,134976,144395,154680,153178,155922,60245,71479
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),CSE,59360,59360,90953,90953,79676,94989,70048,70048,73070,77521,126862,144638,105780,121369,110815,148803,61068,76420
HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS),CSO,59486,59486,142800,142800,134825,138841,59486,59486,130700,141572,132464,132464,155752,155752,143316,143316,116861,140782
SVS GRP OF INSTNS - SVS INST OF TECH,ECE,59950,63499,128498,128498,123211,138804,59950,63499,132986,135872,131540,131540,150714,150714,156038,156038,59950,63499
SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIV,60637,60637,154418,154418,156734,156734,60637,60637,60637,60637,124468,124468,154896,154896,156652,156652,60637,60637
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,CSO,60657,68097,94714,114647,88512,88512,60657,68097,89338,89338,111163,111163,121153,152678,144087,147088,60657,93807
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),MEC,60660,95098,60660,95098,60660,95098,60660,95098,60660,95098,138180,138180,127374,127374,60660,95098,60660,95098
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,ANE,60776,68581,89290,113928,124379,124379,60776,68581,134416,134416,85957,85957,135685,139713,60776,68581,62458,68581
SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),CSC,60822,60822,60822,104361,97941,97941,60822,60822,83682,83682,60822,125371,91166,128917,147624,150141,60822,82336
SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE (AUTONOMOUS),CSE,60966,70781,126395,140853,85692,92876,90775,90775,91359,116285,142887,142887,148839,152974,152591,156544,72121,72121
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),EEE,61088,61088,61088,61088,144787,144787,61088,61088,119680,120511,61088,61088,151356,151356,61088,61088,61088,124787
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,CSE,61258,85752,136132,143889,143132,143132,124521,124521,144296,144296,120166,129235,156479,156479,152440,155033,118081,142647
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,CSE,61317,69854,119024,145142,104224,104224,61317,69854,96174,123022,65972,79815,155173,155173,139837,150976,95720,125445
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,CSE,61412,61412,138559,138559,144244,144244,107351,107351,106956,131905,140156,140156,155204,155204,152273,156265,84382,97261
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ECM,61813,89521,142398,143327,138735,142954,121743,121743,129164,129164,61813,89521,150620,150620,135050,135050,130920,130920
SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI,CSD,62454,62454,62454,62454,138653,138653,62454,62454,62454,62454,62454,62454,62454,62454,62454,62454,62454,62454
SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,62649,83428,140123,142960,117825,140721,81887,98078,103315,122719,129199,129199,147405,147405,146869,146869,77756,86466
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CIV,62650,62650,114733,138946,97426,135658,62650,62650,100941,140620,62650,62650,149880,154617,134911,134911,81120,81120
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),CSC,62653,104792,144456,144456,97804,113454,92098,104792,96185,111285,142880,142880,145964,154262,143617,155509,69871,109303
MNRCOLLEGE OF ENGINEERING AND TECHNOLOGY,ECE,62674,62674,137033,137033,137935,139879,62674,62674,142757,142757,62674,140239,154825,154825,154828,154828,90211,142205
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),CSG,62751,62751,146209,146209,100145,132935,62751,62751,87383,99292,62751,62751,152133,156051,154408,154408,62751,73448
MGU COLLEGE OF ENGINEERING AND TECHNOLOGY ,CSE,62870,62870,146767,146767,112652,142836,107044,107044,108385,124962,74865,107472,152173,152173,152473,155694,62870,135210
TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,CSE,63362,63362,95294,108884,96498,96498,63362,63362,82900,91469,63362,116672,104488,104488,136077,155524,139283,139283
SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,CSE,63806,65412,138912,138912,104592,104592,63806,144207,119558,119558,82321,82321,150519,152179,153285,153285,146564,146564
B V RAJU INSTITUTE OF TECHNOLOGY,CIV,63885,63885,134717,134717,126807,126807,63885,63885,100049,130827,118802,118802,154765,154765,152049,156012,126679,126679
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,EEE,63890,63890,91509,141444,73022,84163,63890,63890,74812,101619,138644,138644,115116,142540,113253,128735,111507,111507
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),CIV,64032,125126,152427,152427,156116,156116,124951,125126,134991,134991,64032,125126,155336,155446,156398,156398,95216,125126
ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),CSM,64148,72434,136151,136371,94676,111539,79960,93258,82061,91939,144698,144698,156421,156819,156232,156232,66205,74073
NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),ECE,64271,64271,140107,140107,120866,135711,106662,106662,119443,119443,120515,136031,154924,154924,154441,156443,118585,135832
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),EEE,64349,64349,118119,118119,132050,132798,64349,64349,84883,131535,78142,78142,131226,151470,91846,152422,64349,101477
ANU BOSE INSTT OF TECHNOLOGY,CIV,64665,104479,147615,154133,150460,155560,64665,104479,152374,152716,156732,156732,154599,154599,147315,153174,64665,104479
